customerID,gender,SeniorCitizen,Partner,Dependents,tenure,MonthlyCharges,Contract,Churn
CUST00041,Male,0,Yes,Yes,13,75.11,Month-to-month,No
CUST00042,Male,0,Yes,Yes,52,93.13,Month-to-month,Yes
CUST00043,Female,0,No,Yes,13,21.95,Month-to-month,Yes
CUST00044,Male,1,No,No,29,85.32,Month-to-month,Yes
CUST00045,Female,0,No,No,65,118.08,Month-to-month,Yes
CUST00046,Male,0,No,Yes,33,78.85,Month-to-month,Yes
CUST00047,Female,1,Yes,No,24,90.3,Month-to-month,Yes
CUST00048,Male,0,No,Yes,42,85.67,One year,Yes
CUST00049,Female,0,No,No,51,74.55,One year,Yes
CUST00050,Female,0,No,No,70,49.0,Two year,No
CUST00051,Female,1,No,No,27,98.96,Month-to-month,No
CUST00052,Male,0,No,No,11,94.62,Two year,No
CUST00053,Male,0,Yes,Yes,5,66.46,Month-to-month,No
CUST00054,Male,1,No,Yes,49,42.89,Month-to-month,No
CUST00055,Male,0,No,Yes,22,88.98,Two year,No
CUST00056,Male,0,No,Yes,59,118.77,One year,No
CUST00057,Female,1,No,Yes,60,94.68,Month-to-month,No
CUST00058,Female,1,Yes,No,56,47.14,Month-to-month,Yes
CUST00059,Female,0,Yes,Yes,29,33.59,Month-to-month,Yes
CUST00060,Female,1,No,No,53,102.95,Month-to-month,Yes
CUST00061,Male,1,No,Yes,45,57.78,Month-to-month,No
CUST00062,Female,0,No,Yes,34,20.96,Month-to-month,Yes
CUST00063,Female,0,No,Yes,68,58.19,Month-to-month,No
CUST00064,Male,0,No,Yes,59,44.54,Month-to-month,Yes
CUST00065,Female,0,No,No,35,102.86,One year,Yes
CUST00066,Male,1,Yes,Yes,44,25.0,Month-to-month,No
CUST00067,Male,0,Yes,Yes,2,42.33,One year,Yes
CUST00068,Male,0,No,No,47,79.94,Month-to-month,No
CUST00069,Male,0,No,Yes,3,76.73,Two year,No
CUST00070,Female,1,Yes,Yes,31,96.79,Month-to-month,No
CUST00071,Male,0,No,No,47,84.05,Month-to-month,Yes
CUST00072,Female,1,Yes,No,46,102.53,One year,No
CUST00073,Female,0,No,No,59,92.56,Month-to-month,Yes
CUST00074,Male,0,No,No,31,76.12,One year,No
CUST00075,Female,0,No,No,23,54.19,Month-to-month,Yes
CUST00076,Female,0,Yes,Yes,10,59.46,Month-to-month,Yes
CUST00077,Male,1,No,No,2,40.6,Month-to-month,Yes
CUST00078,Female,0,No,No,54,74.14,Two year,No
CUST00079,Female,0,No,No,29,37.64,Month-to-month,Yes
CUST00080,Male,0,Yes,No,35,117.61,One year,No
CUST00081,Female,0,Yes,No,29,48.83,Month-to-month,No
CUST00082,Male,0,Yes,Yes,70,114.3,Month-to-month,No
CUST00083,Female,0,Yes,No,60,52.75,Month-to-month,No
CUST00084,Female,1,Yes,Yes,51,76.86,Month-to-month,No
CUST00085,Male,0,No,Yes,31,95.97,Month-to-month,No
CUST00086,Male,1,No,No,38,118.98,Two year,No
CUST00087,Male,0,Yes,Yes,33,34.02,One year,Yes
CUST00088,Male,0,Yes,No,57,65.93,One year,Yes
CUST00089,Female,0,No,Yes,29,98.36,Two year,No
CUST00090,Male,1,Yes,Yes,19,102.32,Two year,Yes
CUST00091,Male,0,No,No,15,49.02,Month-to-month,Yes
CUST00092,Female,1,No,Yes,5,92.92,Two year,No
CUST00093,Male,0,Yes,Yes,34,95.84,One year,Yes
CUST00094,Female,0,Yes,No,62,65.94,Two year,No
CUST00095,Female,0,Yes,No,52,47.4,One year,No
CUST00096,Male,1,Yes,No,32,116.96,Month-to-month,Yes
CUST00097,Male,1,No,Yes,24,81.51,Month-to-month,Yes
CUST00098,Female,0,Yes,No,70,47.38,Month-to-month,No
CUST00099,Female,0,Yes,Yes,20,19.39,Month-to-month,Yes
CUST00100,Male,0,No,Yes,19,91.09,Month-to-month,Yes
CUST00101,Female,1,No,No,31,32.75,Month-to-month,Yes
CUST00102,Male,0,No,No,43,69.79,Two year,No
CUST00103,Female,0,No,Yes,57,53.2,Month-to-month,No
CUST00104,Female,1,No,Yes,30,41.82,One year,No
CUST00105,Male,0,No,No,49,98.82,Two year,No
CUST00106,Male,1,Yes,Yes,64,51.86,Two year,No
CUST00107,Female,0,No,Yes,18,84.79,Month-to-month,Yes
CUST00108,Female,0,No,No,10,104.94,Two year,No
CUST00109,Female,0,No,Yes,8,87.81,Month-to-month,Yes
CUST00110,Male,0,No,Yes,12,88.79,Month-to-month,No
CUST00111,Male,0,Yes,No,45,32.85,Month-to-month,No
CUST00112,Male,0,Yes,Yes,48,42.56,One year,No
CUST00113,Male,0,No,No,58,18.96,Month-to-month,No
CUST00114,Female,0,Yes,No,44,48.51,Two year,No
CUST00115,Female,1,No,Yes,49,28.88,Two year,No
CUST00116,Female,0,No,Yes,50,75.72,Month-to-month,No
CUST00117,Male,1,No,Yes,45,37.39,Month-to-month,Yes
CUST00118,Male,0,Yes,No,56,55.22,Month-to-month,Yes
CUST00119,Female,0,No,Yes,25,73.02,Month-to-month,No
CUST00120,Female,0,No,No,37,52.55,One year,Yes
CUST00121,Male,0,Yes,No,71,98.65,Month-to-month,Yes
CUST00122,Male,1,No,No,48,113.91,Two year,Yes
CUST00123,Male,1,Yes,No,28,82.81,One year,No
CUST00124,Female,1,Yes,Yes,5,49.05,Two year,No
CUST00125,Male,0,Yes,No,58,114.84,Month-to-month,No
CUST00126,Female,0,No,Yes,62,113.78,One year,Yes
CUST00127,Female,0,No,No,30,28.13,Two year,No
CUST00128,Female,0,No,No,24,114.8,Two year,No
CUST00129,Male,0,Yes,Yes,42,30.84,Month-to-month,No
CUST00130,Male,0,Yes,Yes,42,98.44,One year,No
CUST00131,Female,0,Yes,No,22,106.38,Month-to-month,Yes
CUST00132,Female,0,No,Yes,22,30.93,Month-to-month,Yes
CUST00133,Male,0,No,No,46,29.12,Month-to-month,No
CUST00134,Male,0,No,Yes,7,104.42,Two year,Yes
CUST00135,Male,1,No,Yes,10,33.13,Month-to-month,Yes
CUST00136,Female,1,No,No,64,28.12,One year,No
CUST00137,Male,1,No,Yes,52,64.26,Month-to-month,No
CUST00138,Male,0,No,No,32,33.57,Month-to-month,No
CUST00139,Male,0,Yes,Yes,55,93.36,Month-to-month,No
CUST00140,Male,0,Yes,No,45,114.0,Two year,No
CUST00141,Male,0,No,No,13,39.7,One year,No
CUST00142,Male,0,No,No,14,76.56,One year,No
CUST00143,Male,0,Yes,Yes,34,49.52,One year,No
CUST00144,Male,0,Yes,No,8,82.58,Month-to-month,Yes
CUST00145,Male,1,No,No,43,49.79,Month-to-month,Yes
CUST00146,Male,0,Yes,Yes,6,45.75,One year,No
CUST00147,Female,1,No,No,27,29.61,One year,No
CUST00148,Female,1,No,Yes,28,79.13,Month-to-month,Yes
CUST00149,Female,0,Yes,No,37,18.79,Month-to-month,No
CUST00150,Male,0,No,Yes,64,86.14,One year,Yes
CUST00151,Female,0,No,Yes,58,105.94,Two year,No
CUST00152,Female,1,No,Yes,51,51.13,Month-to-month,No
CUST00153,Female,0,Yes,No,13,78.06,Month-to-month,Yes
CUST00154,Female,0,No,Yes,42,25.79,One year,No
CUST00155,Male,0,No,Yes,30,44.11,Month-to-month,Yes
CUST00156,Male,0,Yes,No,59,95.51,One year,No
CUST00157,Female,0,Yes,No,8,82.4,Month-to-month,Yes
CUST00158,Male,0,Yes,No,59,23.8,Month-to-month,No
CUST00159,Male,0,No,No,70,93.37,Two year,Yes
CUST00160,Male,0,No,Yes,7,100.72,Month-to-month,Yes
CUST00161,Male,0,Yes,Yes,56,71.45,Two year,No
CUST00162,Female,0,No,No,52,87.25,One year,Yes
CUST00163,Female,0,No,Yes,71,46.98,One year,No
CUST00164,Male,0,Yes,Yes,44,84.92,Month-to-month,No
CUST00165,Male,0,No,No,42,86.35,Two year,No
CUST00166,Male,1,No,Yes,46,115.02,Month-to-month,Yes
CUST00167,Female,0,Yes,Yes,19,104.13,Month-to-month,Yes
CUST00168,Male,0,Yes,No,19,102.8,Month-to-month,No
CUST00169,Male,1,Yes,No,46,42.23,One year,No
CUST00170,Female,1,Yes,Yes,39,98.01,Two year,No
CUST00171,Male,0,No,No,36,69.3,One year,No
CUST00172,Male,0,Yes,No,6,107.16,One year,Yes
CUST00173,Male,0,No,Yes,20,110.34,Month-to-month,Yes
CUST00174,Female,0,Yes,No,44,60.32,Two year,No
CUST00175,Female,0,No,Yes,47,50.51,Month-to-month,Yes
CUST00176,Female,0,Yes,Yes,36,66.19,Two year,No
CUST00177,Female,1,Yes,Yes,2,103.17,Month-to-month,Yes
CUST00178,Female,0,No,Yes,38,42.32,Month-to-month,No
CUST00179,Female,0,Yes,No,68,70.57,Month-to-month,Yes
CUST00180,Male,0,No,Yes,45,60.49,Month-to-month,No
CUST00181,Male,0,Yes,Yes,49,22.44,Two year,No
CUST00182,Female,0,Yes,No,8,92.76,Month-to-month,Yes
CUST00183,Female,0,Yes,No,69,83.57,Month-to-month,No
CUST00184,Female,1,Yes,Yes,8,114.25,One year,Yes
CUST00185,Male,0,Yes,Yes,40,70.57,Two year,No
CUST00186,Female,0,Yes,Yes,36,97.65,Month-to-month,No
CUST00187,Female,0,Yes,No,55,93.82,Two year,No
CUST00188,Female,0,Yes,No,63,99.32,Month-to-month,Yes
CUST00189,Male,1,Yes,No,23,50.76,Month-to-month,Yes
CUST00190,Female,0,No,No,21,53.86,One year,Yes
CUST00191,Female,1,No,Yes,9,59.43,One year,Yes
CUST00192,Male,0,Yes,No,4,42.07,Month-to-month,Yes
CUST00193,Female,1,Yes,Yes,57,55.95,Two year,No
CUST00194,Male,0,No,No,35,29.57,Month-to-month,No
CUST00195,Female,1,Yes,No,33,39.89,One year,No
CUST00196,Female,0,Yes,Yes,9,109.67,Month-to-month,Yes
CUST00197,Male,0,No,Yes,70,108.92,Month-to-month,No
CUST00198,Male,0,Yes,Yes,25,42.15,One year,No
CUST00199,Female,0,No,Yes,11,58.61,Month-to-month,No
CUST00200,Female,1,No,Yes,16,83.52,Two year,No
CUST00201,Female,0,Yes,Yes,55,106.56,Month-to-month,No
CUST00202,Male,0,Yes,Yes,41,41.0,Two year,No
CUST00203,Female,0,No,Yes,70,81.75,Month-to-month,No
CUST00204,Male,0,Yes,Yes,43,75.49,Two year,No
CUST00205,Male,0,Yes,No,26,60.49,One year,No
CUST00206,Female,0,No,No,31,87.87,Two year,No
CUST00207,Male,0,Yes,No,53,38.81,Month-to-month,No
CUST00208,Female,0,No,No,16,70.53,One year,Yes
CUST00209,Male,1,Yes,No,57,27.87,Month-to-month,Yes
CUST00210,Female,1,Yes,Yes,41,91.56,Two year,Yes
CUST00211,Male,1,No,No,39,27.19,Month-to-month,Yes
CUST00212,Female,0,Yes,No,6,68.48,Month-to-month,No
CUST00213,Female,0,Yes,Yes,55,44.98,Month-to-month,Yes
CUST00214,Female,0,Yes,No,6,37.85,One year,No
CUST00215,Male,1,No,No,15,27.86,Month-to-month,Yes
CUST00216,Female,0,Yes,Yes,65,22.11,Month-to-month,Yes
CUST00217,Female,1,No,Yes,65,113.0,Month-to-month,Yes
CUST00218,Female,0,No,No,72,101.21,Month-to-month,Yes
CUST00219,Male,1,No,Yes,60,84.87,Month-to-month,No
CUST00220,Male,0,No,Yes,67,81.21,One year,No
CUST00221,Male,0,Yes,Yes,24,50.0,Month-to-month,Yes
CUST00222,Male,1,No,Yes,17,75.21,Month-to-month,No
CUST00223,Female,1,No,Yes,58,52.92,Two year,No
CUST00224,Female,1,Yes,Yes,35,40.94,One year,No
CUST00225,Female,0,Yes,No,40,75.17,Month-to-month,No
CUST00226,Female,0,Yes,No,50,115.37,Two year,No
CUST00227,Female,0,No,Yes,44,84.91,Two year,No
CUST00228,Male,0,No,No,17,93.57,Month-to-month,Yes
CUST00229,Male,0,Yes,Yes,12,91.17,Month-to-month,Yes
CUST00230,Male,0,Yes,No,60,38.34,Month-to-month,No
CUST00231,Female,0,Yes,Yes,29,91.76,Month-to-month,No
CUST00232,Male,1,Yes,Yes,50,37.0,One year,No
CUST00233,Female,0,Yes,No,72,112.7,One year,Yes
CUST00234,Female,1,Yes,No,34,29.49,Month-to-month,Yes
CUST00235,Female,0,Yes,Yes,43,75.91,One year,No
CUST00236,Male,1,No,No,11,27.73,Month-to-month,No
CUST00237,Female,0,Yes,Yes,33,63.57,Month-to-month,Yes
CUST00238,Female,0,Yes,No,46,24.34,One year,Yes
CUST00239,Female,0,No,No,15,113.94,One year,Yes
CUST00240,Male,0,Yes,No,19,118.86,Month-to-month,Yes
CUST00241,Female,0,Yes,Yes,67,89.78,Month-to-month,Yes
CUST00242,Male,0,Yes,Yes,21,71.07,Month-to-month,Yes
CUST00243,Male,1,Yes,No,7,70.35,Month-to-month,Yes
CUST00244,Male,1,No,Yes,50,18.31,Month-to-month,Yes
CUST00245,Male,0,No,No,8,24.15,Month-to-month,No
CUST00246,Female,0,No,No,23,96.11,One year,No
CUST00247,Female,0,No,No,48,87.64,Month-to-month,No
CUST00248,Male,0,Yes,Yes,68,30.99,Month-to-month,No
CUST00249,Male,0,No,No,69,56.69,Month-to-month,Yes
CUST00250,Female,0,Yes,No,24,91.95,Two year,Yes
CUST00251,Female,0,Yes,Yes,8,21.42,Month-to-month,Yes
CUST00252,Male,0,Yes,No,56,40.16,Month-to-month,No
CUST00253,Male,0,No,Yes,40,96.8,One year,No
CUST00254,Male,0,Yes,Yes,52,24.22,Month-to-month,No
CUST00255,Male,1,No,Yes,44,86.48,Two year,No
CUST00256,Female,1,No,Yes,38,94.95,Month-to-month,Yes
CUST00257,Male,0,Yes,No,7,116.71,One year,Yes
CUST00258,Male,1,Yes,No,26,26.07,Month-to-month,No
CUST00259,Female,0,Yes,Yes,34,79.71,Month-to-month,Yes
CUST00260,Male,0,Yes,No,26,51.96,Two year,No
CUST00261,Male,0,Yes,Yes,61,88.95,Two year,No
CUST00262,Female,0,No,No,48,84.17,Month-to-month,Yes
CUST00263,Female,1,No,Yes,60,50.66,One year,Yes
CUST00264,Female,1,Yes,Yes,18,74.44,Month-to-month,No
CUST00265,Female,0,Yes,Yes,42,76.12,Month-to-month,Yes
CUST00266,Female,0,No,No,58,99.09,Month-to-month,Yes
CUST00267,Female,0,Yes,Yes,9,86.16,Two year,No
CUST00268,Female,0,Yes,Yes,19,69.58,Month-to-month,Yes
CUST00269,Female,1,Yes,Yes,68,19.21,One year,No
CUST00270,Female,0,Yes,No,22,27.82,Month-to-month,Yes
CUST00271,Male,0,No,No,50,115.85,Month-to-month,Yes
CUST00272,Male,0,No,Yes,4,56.68,Month-to-month,Yes
CUST00273,Male,0,Yes,Yes,63,83.78,Two year,No
CUST00274,Male,0,Yes,Yes,72,22.75,Month-to-month,Yes
CUST00275,Female,0,Yes,No,2,77.88,Two year,No
CUST00276,Female,0,No,Yes,72,103.13,Month-to-month,Yes
CUST00277,Female,1,Yes,Yes,64,53.28,One year,Yes
CUST00278,Male,0,No,No,41,45.88,Month-to-month,No
CUST00279,Female,0,No,No,55,77.76,Month-to-month,Yes
CUST00280,Female,0,Yes,Yes,34,90.59,Month-to-month,No
CUST00281,Female,0,No,Yes,11,49.44,Month-to-month,Yes
CUST00282,Female,0,Yes,Yes,23,74.81,Month-to-month,Yes
CUST00283,Male,0,Yes,No,70,79.0,Month-to-month,Yes
CUST00284,Female,0,No,No,49,91.93,One year,No
CUST00285,Male,0,No,Yes,17,45.38,Month-to-month,Yes
CUST00286,Male,1,No,No,38,25.85,Month-to-month,Yes
CUST00287,Male,1,Yes,No,13,18.69,Month-to-month,Yes
CUST00288,Female,0,No,No,55,105.67,Two year,No
CUST00289,Male,0,No,Yes,61,116.39,Month-to-month,No
CUST00290,Female,1,Yes,No,48,98.16,Month-to-month,Yes
CUST00291,Male,0,Yes,No,26,47.72,Month-to-month,No
CUST00292,Female,1,Yes,No,30,33.72,Month-to-month,No
CUST00293,Female,0,No,No,51,112.2,Month-to-month,No
CUST00294,Female,0,No,Yes,13,85.08,One year,Yes
CUST00295,Male,1,No,No,13,44.39,Month-to-month,Yes
CUST00296,Male,1,No,No,59,78.04,One year,No
CUST00297,Female,0,No,Yes,37,116.1,Month-to-month,Yes
CUST00298,Male,0,No,No,58,71.15,One year,No
CUST00299,Male,1,No,No,8,100.64,Month-to-month,Yes
CUST00300,Female,0,Yes,Yes,66,34.33,Month-to-month,No
CUST00301,Female,0,No,Yes,23,62.08,One year,Yes
CUST00302,Male,1,No,No,0,38.99,One year,No
CUST00303,Male,0,Yes,No,41,29.62,Month-to-month,No
CUST00304,Female,0,No,No,14,104.24,Month-to-month,Yes
CUST00305,Female,0,Yes,No,15,29.93,Month-to-month,Yes
CUST00306,Male,1,No,Yes,49,67.64,Month-to-month,No
CUST00307,Male,0,No,No,17,103.88,Month-to-month,Yes
CUST00308,Female,0,No,Yes,24,116.31,Two year,No
CUST00309,Female,1,No,No,56,26.43,Month-to-month,Yes
CUST00310,Male,0,Yes,No,28,35.16,Month-to-month,No
CUST00311,Female,0,Yes,No,69,55.42,Two year,No
CUST00312,Male,1,Yes,No,13,84.67,One year,Yes
CUST00313,Male,1,No,No,11,119.38,Month-to-month,Yes
CUST00314,Male,0,No,No,21,98.05,One year,No
CUST00315,Male,0,No,Yes,41,47.85,Two year,No
CUST00316,Male,0,No,Yes,35,30.94,Two year,No
CUST00317,Male,0,No,Yes,50,76.9,Month-to-month,Yes
CUST00318,Female,1,No,Yes,11,94.48,Month-to-month,Yes
CUST00319,Female,1,No,No,0,104.41,Two year,Yes
CUST00320,Female,0,Yes,No,27,102.13,Two year,No
CUST00321,Female,0,No,Yes,72,98.41,Two year,No
CUST00322,Male,0,Yes,No,2,105.48,Month-to-month,Yes
CUST00323,Male,1,Yes,Yes,38,113.14,Month-to-month,Yes
CUST00324,Female,0,Yes,No,21,81.81,Month-to-month,No
CUST00325,Male,1,Yes,Yes,0,25.95,Month-to-month,Yes
CUST00326,Female,0,Yes,No,15,61.08,Two year,Yes
CUST00327,Male,0,No,Yes,13,55.49,Month-to-month,Yes
CUST00328,Female,0,Yes,Yes,67,80.25,One year,Yes
CUST00329,Female,0,Yes,No,56,26.84,Two year,No
CUST00330,Male,1,No,No,40,43.27,One year,No
CUST00331,Male,0,Yes,No,26,69.97,Month-to-month,No
CUST00332,Female,0,Yes,No,49,68.96,Month-to-month,No
CUST00333,Male,0,No,Yes,49,75.97,Two year,No
CUST00334,Male,1,Yes,Yes,8,40.01,Month-to-month,No
CUST00335,Female,0,No,No,51,72.73,Month-to-month,No
CUST00336,Female,0,No,Yes,65,117.38,Two year,Yes
CUST00337,Female,1,Yes,No,55,104.34,One year,Yes
CUST00338,Male,1,Yes,No,7,93.65,Month-to-month,Yes
CUST00339,Male,0,Yes,Yes,20,53.36,Month-to-month,Yes
CUST00340,Female,0,No,Yes,34,30.04,One year,No
CUST00341,Female,1,No,Yes,33,76.82,One year,Yes
CUST00342,Female,0,Yes,No,72,34.05,Month-to-month,No
CUST00343,Male,0,Yes,Yes,1,66.12,Month-to-month,Yes
CUST00344,Male,0,Yes,No,28,60.46,Month-to-month,No
CUST00345,Female,0,No,Yes,64,23.37,One year,Yes
CUST00346,Male,1,Yes,No,36,49.69,One year,Yes
CUST00347,Female,0,No,Yes,37,49.0,One year,No
CUST00348,Female,0,No,Yes,69,43.0,One year,Yes
CUST00349,Female,0,Yes,No,1,18.15,Two year,No
CUST00350,Female,0,Yes,Yes,53,24.11,Month-to-month,No
CUST00351,Female,0,Yes,Yes,66,109.35,Month-to-month,Yes
CUST00352,Male,0,Yes,No,9,24.35,One year,No
CUST00353,Male,0,No,No,40,58.08,Two year,No
CUST00354,Female,0,No,No,29,38.68,Month-to-month,No
CUST00355,Male,0,Yes,Yes,57,59.46,Month-to-month,No
CUST00356,Male,1,No,No,33,27.22,Two year,No
CUST00357,Female,0,Yes,No,18,43.32,Month-to-month,Yes
CUST00358,Male,0,No,Yes,3,105.17,Two year,No
CUST00359,Male,0,No,Yes,17,24.29,Month-to-month,No
CUST00360,Male,0,Yes,No,47,113.63,One year,Yes
CUST00361,Female,0,Yes,Yes,25,63.23,Two year,No
CUST00362,Female,0,Yes,No,6,76.54,Month-to-month,No
CUST00363,Female,1,Yes,No,54,39.9,Month-to-month,Yes
CUST00364,Female,1,Yes,Yes,31,68.89,One year,No
CUST00365,Female,0,Yes,No,49,38.34,Month-to-month,No
CUST00366,Male,0,No,No,61,67.44,Month-to-month,No
CUST00367,Female,1,No,Yes,3,40.34,Month-to-month,No
CUST00368,Female,0,No,No,29,28.21,Two year,No
CUST00369,Female,0,Yes,No,45,119.14,Two year,Yes
CUST00370,Male,0,No,Yes,45,75.49,Two year,No
CUST00371,Male,1,No,Yes,62,23.73,Month-to-month,No
CUST00372,Male,1,Yes,No,25,52.76,Two year,No
CUST00373,Female,0,Yes,Yes,18,104.34,One year,No
CUST00374,Male,0,No,Yes,43,31.92,Month-to-month,Yes
CUST00375,Female,1,No,Yes,71,112.74,One year,No
CUST00376,Male,0,No,No,37,92.34,Month-to-month,No
CUST00377,Female,0,Yes,No,28,28.62,One year,No
CUST00378,Female,0,Yes,No,40,108.3,Month-to-month,Yes
CUST00379,Female,1,Yes,No,26,24.92,Month-to-month,Yes
CUST00380,Male,0,Yes,No,56,116.85,One year,No
CUST00381,Female,1,No,No,12,98.45,Two year,No
CUST00382,Male,0,No,Yes,4,50.51,Month-to-month,No
CUST00383,Male,0,Yes,No,20,73.8,One year,No
CUST00384,Male,0,No,Yes,55,34.83,Two year,No
CUST00385,Male,0,Yes,No,26,59.75,Two year,No
CUST00386,Female,0,No,Yes,12,76.32,Month-to-month,No
CUST00387,Male,0,No,Yes,54,102.04,Month-to-month,No
CUST00388,Female,0,Yes,Yes,26,47.76,Month-to-month,Yes
CUST00389,Male,0,No,No,62,45.03,Two year,No
CUST00390,Female,0,No,No,47,22.55,Month-to-month,No
CUST00391,Female,0,No,Yes,19,86.08,One year,Yes
CUST00392,Female,1,Yes,Yes,49,60.7,Two year,No
CUST00393,Female,0,No,No,10,105.1,Month-to-month,Yes
CUST00394,Male,0,No,Yes,21,100.46,Two year,Yes
CUST00395,Female,0,No,Yes,18,44.3,Two year,No
CUST00396,Male,0,No,No,70,46.17,Month-to-month,No
CUST00397,Male,1,Yes,No,19,77.97,Month-to-month,No
CUST00398,Male,0,Yes,No,68,107.55,Two year,No
CUST00399,Female,1,Yes,Yes,35,81.06,Month-to-month,No
CUST00400,Female,0,No,No,30,66.47,Month-to-month,Yes
CUST00401,Female,0,No,No,39,68.15,Month-to-month,No
CUST00402,Male,0,Yes,No,56,50.73,One year,No
CUST00403,Male,0,No,Yes,52,95.47,One year,No
CUST00404,Male,0,Yes,No,64,97.61,Month-to-month,Yes
CUST00405,Male,0,Yes,Yes,7,64.56,Month-to-month,No
CUST00406,Male,0,No,No,64,112.15,Month-to-month,No
CUST00407,Male,0,No,No,22,66.41,Two year,No
CUST00408,Female,0,No,Yes,36,23.06,Month-to-month,No
CUST00409,Male,0,Yes,Yes,34,70.35,One year,No
CUST00410,Male,1,Yes,Yes,1,80.05,Month-to-month,No
CUST00411,Female,1,No,No,58,65.6,Month-to-month,No
CUST00412,Female,0,Yes,No,71,80.12,One year,Yes
CUST00413,Male,1,Yes,No,35,105.87,One year,Yes
CUST00414,Female,0,Yes,Yes,7,99.84,Two year,No
CUST00415,Female,0,Yes,No,37,60.69,Month-to-month,Yes
CUST00416,Male,0,No,Yes,68,66.52,One year,No
CUST00417,Female,0,Yes,Yes,37,31.05,Month-to-month,Yes
CUST00418,Male,0,Yes,Yes,45,106.89,Month-to-month,Yes
CUST00419,Female,0,No,No,59,65.99,Two year,No
CUST00420,Male,1,Yes,Yes,48,60.14,Month-to-month,No
CUST00421,Male,0,Yes,No,52,109.07,Two year,No
CUST00422,Male,0,Yes,Yes,62,118.64,Month-to-month,Yes
CUST00423,Male,0,No,No,26,35.2,One year,No
CUST00424,Female,0,Yes,No,54,116.46,Month-to-month,Yes
CUST00425,Male,0,No,Yes,41,72.17,One year,Yes
CUST00426,Male,0,Yes,No,39,57.12,Month-to-month,No
CUST00427,Male,0,Yes,No,37,71.07,Month-to-month,No
CUST00428,Female,0,No,No,45,34.82,One year,No
CUST00429,Female,0,Yes,Yes,16,20.24,Month-to-month,Yes
CUST00430,Male,0,Yes,No,32,81.56,One year,No
CUST00431,Male,0,Yes,Yes,14,56.79,Month-to-month,Yes
CUST00432,Female,0,Yes,Yes,38,28.3,Month-to-month,No
CUST00433,Male,1,Yes,Yes,36,28.84,Month-to-month,Yes
CUST00434,Male,0,Yes,No,52,22.02,Month-to-month,No
CUST00435,Male,1,No,Yes,0,27.08,Month-to-month,Yes
CUST00436,Female,0,Yes,Yes,12,83.72,Two year,No
CUST00437,Female,0,No,Yes,12,107.16,Two year,No
CUST00438,Female,0,No,Yes,12,108.81,Two year,Yes
CUST00439,Male,0,No,No,56,45.37,Two year,No
CUST00440,Female,0,Yes,Yes,51,64.57,Month-to-month,No
CUST00441,Female,1,Yes,Yes,16,23.98,One year,No
CUST00442,Male,0,No,No,72,36.49,One year,No
CUST00443,Female,0,Yes,No,62,59.95,Month-to-month,Yes
CUST00444,Female,0,Yes,Yes,43,88.2,Month-to-month,No
